Water Source	Region	Scenario	Percent
Piped water kiosk or retailer	Urban (all)	Rainy Season	6.8
Tube well or borehole	Urban (all)	Rainy Season	
Protected dug well	Urban (all)	Rainy Season	2.7
Protected spring	Urban (all)	Rainy Season	
Rain water	Urban (all)	Rainy Season	
Bottled water	Urban (all)	Rainy Season	
Tanker truck or cart with small tank	Urban (all)	Rainy Season	1.1
Total improved	Urban (all)	Rainy Season	96
Unprotected dug well	Urban (all)	Rainy Season	
Unprotected spring	Urban (all)	Rainy Season	
Surface water	Urban (all)	Rainy Season	
Other	Urban (all)	Rainy Season	
Total unimproved	Urban (all)	Rainy Season	4
Piped water into dwelling	Country	Current Use	0.4
Piped water into yard or plot	Country	Current Use	15.7
"Piped water, public tap or standpipe"	Country	Current Use	12.4
Piped water kiosk or retailer	Country	Current Use	1.9
Tube well or borehole	Country	Current Use	13.9
Protected dug well	Country	Current Use	4.6
Protected spring	Country	Current Use	14.3
Rain water	Country	Current Use	1.1
Bottled water	Country	Current Use	0.4
Tanker truck or cart with small tank	Country	Current Use	1.3
Total improved	Country	Current Use	66
Unprotected dug well	Country	Current Use	3
Unprotected spring	Country	Current Use	20.1
Surface water	Country	Current Use	9.9
Other	Country	Current Use	1.1
Total unimproved	Country	Current Use	34
Piped water into dwelling	Rural	Current Use	
Piped water into yard or plot	Rural	Current Use	3
"Piped water, public tap or standpipe"	Rural	Current Use	12
Piped water kiosk or retailer	Rural	Current Use	
Tube well or borehole	Rural	Current Use	17.7
Protected dug well	Rural	Current Use	4.7
Protected spring	Rural	Current Use	17.9
Rain water	Rural	Current Use	1.3
Bottled water	Rural	Current Use	
Tanker truck or cart with small tank	Rural	Current Use	1.2
Total improved	Rural	Current Use	58.9
Unprotected dug well	Rural	Current Use	3
Unprotected spring	Rural	Current Use	25.2
Surface water	Rural	Current Use	11.8
Other	Rural	Current Use	1.1
Total unimproved	Rural	Current Use	41.1
Piped water into dwelling	Urban (small town)	Current Use	
Piped water into yard or plot	Urban (small town)	Current Use	46
"Piped water, public tap or standpipe"	Urban (small town)	Current Use	17.1
Piped water kiosk or retailer	Urban (small town)	Current Use	
Tube well or borehole	Urban (small town)	Current Use	7
Protected dug well	Urban (small town)	Current Use	
Protected spring	Urban (small town)	Current Use	
Rain water	Urban (small town)	Current Use	
Bottled water	Urban (small town)	Current Use	
Tanker truck or cart with small tank	Urban (small town)	Current Use	
Total improved	Urban (small town)	Current Use	90
Unprotected dug well	Urban (small town)	Current Use	
Unprotected spring	Urban (small town)	Current Use	
Surface water	Urban (small town)	Current Use	
Other	Urban (small town)	Current Use	
Total unimproved	Urban (small town)	Current Use	10
Piped water into dwelling	Urban (large town)	Current Use	2.4
Piped water into yard or plot	Urban (large town)	Current Use	69.4
"Piped water, public tap or standpipe"	Urban (large town)	Current Use	9.6
Piped water kiosk or retailer	Urban (large town)	Current Use	6.6
Tube well or borehole	Urban (large town)	Current Use	
Protected dug well	Urban (large town)	Current Use	
Protected spring	Urban (large town)	Current Use	
Rain water	Urban (large town)	Current Use	
Bottled water	Urban (large town)	Current Use	2.4
Tanker truck or cart with small tank	Urban (large town)	Current Use	
Total improved	Urban (large town)	Current Use	95.4
Unprotected dug well	Urban (large town)	Current Use	
Unprotected spring	Urban (large town)	Current Use	
Surface water	Urban (large town)	Current Use	
Other	Urban (large town)	Current Use	
Total unimproved	Urban (large town)	Current Use	4.6
Piped water into dwelling	Urban (all)	Current Use	1.9
Piped water into yard or plot	Urban (all)	Current Use	63.7
"Piped water, public tap or standpipe"	Urban (all)	Current Use	11.4
Piped water kiosk or retailer	Urban (all)	Current Use	6.5
Tube well or borehole	Urban (all)	Current Use	3.2
Protected dug well	Urban (all)	Current Use	2
Protected spring	Urban (all)	Current Use	
Rain water	Urban (all)	Current Use	
Bottled water	Urban (all)	Current Use	2
Tanker truck or cart with small tank	Urban (all)	Current Use	1.5
Total improved	Urban (all)	Current Use	94.1
Unprotected dug well	Urban (all)	Current Use	2.2
Unprotected spring	Urban (all)	Current Use	
Surface water	Urban (all)	Current Use	
Other	Urban (all)	Current Use	
Total unimproved	Urban (all)	Current Use	5.9
